#,Area,English,Bulgarian,Sources
68,Layout (header / sidebar),Teams and service,,src/components/layout/Sidebar.tsx
69,Layout (header / sidebar),Tuesday & Thursday prayer,,src/components/layout/Sidebar.tsx
70,Layout (header / sidebar),Wednesday attendance,,src/components/layout/Sidebar.tsx
71,Layout (header / sidebar),Weekly sessions,,src/components/layout/Sidebar.tsx
72,Layout (header / sidebar),Year groups and subjects,,src/components/layout/Sidebar.tsx
73,Components,About The Burning Ones,,src/components/OnboardingScreen.tsx
74,Components,Access is based on the school record connected to your Google account.,,src/components/AuthScreen.tsx
75,Components,Add question,,src/components/assignments/AssignmentComposer.tsx
76,Components,After Google sign-in,,src/components/AuthScreen.tsx
77,Components,"After receiving your application and recommendation, our team will contact you to schedule an in-person interview at Zoe West, Tsaritsa Yoanna Blvd 160.",,src/components/OnboardingScreen.tsx
78,Components,Application,,src/components/OnboardingScreen.tsx
79,Components,Application record matched,,src/components/AuthScreen.tsx
80,Components,Application review,,src/components/OnboardingScreen.tsx
81,Components,Approved users continue straight into the Portal.,,src/components/AuthScreen.tsx
82,Components,Assignment,,src/components/assignments/AssignmentComposer.tsx; src/views/admin/KnowledgeBaseView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
83,Components,Auto / none,,src/components/assignments/AssignmentComposer.tsx
84,Components,Basic requirements,,src/components/OnboardingScreen.tsx
85,Components,Class,,src/components/student/StudentMonthCalendar.tsx
86,Components,Clear,,src/components/search/UniversalSearchModal.tsx; src/views/admin/planning/PlanningCalendarGrid.tsx
87,Components,Close day details,,src/components/student/StudentMonthCalendar.tsx
88,Components,Close search,,src/components/search/UniversalSearchModal.tsx
89,Components,Curriculum plan,,src/components/subject/SubjectCurriculumPlan.tsx
90,Components,Delete curriculum plan,,src/components/subject/SubjectCurriculumPlan.tsx
91,Components,"End of day, 23:59",,src/components/assignments/AssignmentComposer.tsx
92,Components,"Essay, reflection, reading response...",,src/components/assignments/AssignmentComposer.tsx
93,Components,Expect to receive an email with feedback within two weeks of your interview.,,src/components/OnboardingScreen.tsx
94,Components,Feedback,,src/components/OnboardingScreen.tsx; src/views/admin/BooksView.tsx
95,Components,For,,src/components/assignments/AssignmentComposer.tsx
96,Components,Google account required,,src/components/AuthScreen.tsx
97,Components,Google Doc submission and grading.,,src/components/assignments/AssignmentComposer.tsx
98,Components,Google sign-in complete,,src/components/OnboardingScreen.tsx
99,Components,Grade category,,src/components/assignments/AssignmentComposer.tsx
100,Components,Grading,,src/components/assignments/AssignmentComposer.tsx
101,Components,Grading period,,src/components/assignments/AssignmentComposer.tsx
102,Components,Interview,,src/components/OnboardingScreen.tsx
103,Components,Jump to,,src/components/search/UniversalSearchModal.tsx
104,Components,Known applicants,,src/components/AuthScreen.tsx
105,Components,Loading curriculum plan...,,src/components/subject/SubjectCurriculumPlan.tsx
106,Components,Mark by,,src/components/assignments/AssignmentComposer.tsx
107,Components,Multiple choice,,src/components/assignments/AssignmentComposer.tsx
108,Components,Next month,,src/components/student/StudentMonthCalendar.tsx; src/views/admin/AdminDashboard.tsx
109,Components,No category,,src/components/assignments/AssignmentComposer.tsx
110,Components,No curriculum plan yet.,,src/components/subject/SubjectCurriculumPlan.tsx
111,Components,No results found,,src/components/search/UniversalSearchModal.tsx
112,Components,No tracked sessions on this day.,,src/components/student/StudentMonthCalendar.tsx
113,Components,Not marked yet,,src/components/student/StudentMonthCalendar.tsx
114,Components,Option A\nOption B\nOption C,,src/components/assignments/AssignmentComposer.tsx
115,Components,Portal access is role based,,src/components/AuthScreen.tsx
116,Components,Previous month,,src/components/student/StudentMonthCalendar.tsx; src/views/admin/AdminDashboard.tsx
117,Components,Question,,src/components/assignments/AssignmentComposer.tsx
118,Components,Question type,,src/components/assignments/AssignmentComposer.tsx
119,Components,Quick check,,src/components/assignments/AssignmentComposer.tsx
120,Components,Recent searches,,src/components/search/UniversalSearchModal.tsx
121,Components,Remove the curriculum plan?,,src/components/subject/SubjectCurriculumPlan.tsx
122,Components,Replace,,src/components/subject/SubjectCurriculumPlan.tsx
123,Components,Review required,,src/components/OnboardingScreen.tsx
124,Components,School access,,src/components/AuthScreen.tsx
125,Components,School Portal,,src/components/AuthScreen.tsx
126,Components,"Search people, classroom, stream, attendance, tuition...",,src/components/search/UniversalSearchModal.tsx
127,Components,Short answer,,src/components/assignments/AssignmentComposer.tsx
128,Components,Short answer or multiple choice response.,,src/components/assignments/AssignmentComposer.tsx
129,Components,Sign in to continue.,,src/components/AuthScreen.tsx
130,Components,Sign in with Google,,src/components/AuthScreen.tsx
131,Components,Sign out,,src/components/OnboardingScreen.tsx
132,Components,Signing in does not confirm admission. Access opens only when the school record is approved.,,src/components/AuthScreen.tsx
133,Components,Status checked,,src/components/AuthScreen.tsx
134,Components,Student work,,src/components/assignments/AssignmentComposer.tsx; src/views/admin/KnowledgeBaseView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx; src/views/student/MyAssignmentsView.tsx
135,Components,Submit your application form along with your pastor,,src/components/OnboardingScreen.tsx
136,Components,Swipe horizontally to see more →,,src/components/ui/ResponsiveTable.tsx
137,Components,The app checks your school status before opening a workspace.,,src/components/AuthScreen.tsx
138,Components,The Burning Ones,,src/components/AuthScreen.tsx; src/components/OnboardingScreen.tsx
139,Components,The Burning Ones Portal,,src/components/AuthScreen.tsx
140,Components,The Burning Ones printed school material,,src/components/AuthScreen.tsx
141,Components,The Burning Ones. Platform access depends on application review and role assignment.,,src/components/OnboardingScreen.tsx
142,Components,The school confirms admission status and active role access.,,src/components/AuthScreen.tsx
143,Components,"Try a name, subject, assignment, date, or module name.",,src/components/search/UniversalSearchModal.tsx
144,Components,Try again,,src/components/ui/ErrorMessage.tsx
145,Components,Ungraded,,src/components/assignments/AssignmentComposer.tsx; src/views/admin/AdminDashboard.tsx
146,Components,Upload,,src/components/subject/SubjectCurriculumPlan.tsx; src/views/shared/tabs/MaterialsTab.tsx
147,Components,Use the Google account connected to your application or school profile.,,src/components/AuthScreen.tsx
148,Components,Used for teacher grading to-dos after students submit.,,src/components/assignments/AssignmentComposer.tsx
149,Components,View application info,,src/components/OnboardingScreen.tsx
150,Components,Visit school site,,src/components/OnboardingScreen.tsx
151,Components,Work type,,src/components/assignments/AssignmentComposer.tsx
152,Components,Workspace opened,,src/components/AuthScreen.tsx
153,Components,"Write the task clearly. Include expectations, length, format, and anything students should pay attention to.",,src/components/assignments/AssignmentComposer.tsx
154,Components,Yes\nNo\nNot sure,,src/components/assignments/AssignmentComposer.tsx
155,Components,Your recent searches will appear here.,,src/components/search/UniversalSearchModal.tsx
156,Components,Zoe Sofia,,src/components/AuthScreen.tsx
157,Modals,Active,,src/components/modals/EditModal/EditCourseForm.tsx; src/views/admin/users/usersShared.tsx
158,Modals,Active first-year students,,src/components/modals/CreateAnnouncementModal.tsx
159,Modals,Active second-year students,,src/components/modals/CreateAnnouncementModal.tsx
160,Modals,Add a comment...,,src/components/modals/SubmissionDetailModal.tsx; src/views/shared/tabs/HomeworkTab.tsx
161,Modals,Add file,,src/components/modals/CreateAnnouncementModal.tsx
162,Modals,Add link,,src/components/modals/CreateAnnouncementModal.tsx
163,Modals,Add phone number,,src/components/modals/EditModal/EditUserForm.tsx
164,Modals,Adjust Photo,,src/components/modals/AvatarCropModal.tsx
165,Modals,"Admins, mentors, teachers, team leaders",,src/components/modals/CreateAnnouncementModal.tsx
166,Modals,All staff,,src/components/modals/CreateAnnouncementModal.tsx
167,Modals,Assignment title,,src/components/modals/CreateAssignmentModal.tsx; src/views/admin/BooksView.tsx
168,Modals,Attaching...,,src/components/modals/CreateAnnouncementModal.tsx
169,Modals,Attachment title,,src/components/modals/CreateAnnouncementModal.tsx
170,Modals,Attachments,,src/components/modals/CreateAnnouncementModal.tsx
171,Modals,Audience,,src/components/modals/CreateAnnouncementModal.tsx; src/views/admin/KnowledgeBaseView.tsx
172,Modals,Body,,src/components/modals/CreateAnnouncementModal.tsx
173,Modals,Both,,src/components/modals/EditModal/EditUserForm.tsx
