#,Area,English,Bulgarian,Sources
299,Modals,Title,,src/components/assignments/AssignmentComposer.tsx; src/components/modals/CreateAnnouncementModal.tsx; src/components/modals/CreateAssignmentModal.tsx; src/views/admin/AttendanceView.tsx; src/views/shared/classwork/SubjectDetailPage.tsx
300,Modals,Translator role only,,src/components/modals/CreateAnnouncementModal.tsx
301,Modals,Translators,,src/components/modals/CreateAnnouncementModal.tsx; src/hooks/useTodos.ts
302,Modals,void | Promise,,src/components/modals/EditModal/EditModal.tsx; src/components/modals/MentorAssignModal.tsx
303,Modals,Write your post in Bulgarian...,,src/components/modals/CreateAnnouncementModal.tsx
304,Modals,Write your post...,,src/components/modals/CreateAnnouncementModal.tsx
305,Modals,Year Group Type,,src/components/modals/EditModal/EditCourseForm.tsx
306,Modals,Year of Graduation,,src/components/modals/EditModal/EditCourseForm.tsx
307,Modals,You can still download it or open it in a new browser tab.,,src/components/modals/FilePreviewModal.tsx
308,Shared views,A private thread will appear after the student starts or submits this reading.,,src/views/shared/ClassworkView.tsx
309,Shared views,A thread between the student and staff.,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
310,Shared views,Academic average,,src/views/shared/GradesView.tsx
311,Shared views,Academic grades stay separate from graduation readiness.,,src/views/shared/GradesView.tsx
312,Shared views,Academic work,,src/views/shared/GradesView.tsx
313,Shared views,Action needed,,src/views/shared/ClassworkView.tsx; src/views/shared/classwork/helpers.ts
314,Shared views,Add a comment,,src/views/shared/AnnouncementsView.tsx
315,Shared views,Add category,,src/views/shared/GradesView.tsx
316,Shared views,Add context if needed,,src/views/shared/TodosView.tsx
317,Shared views,Add homework,,src/views/shared/classwork/SubjectDetailPage.tsx
318,Shared views,Add Materials,,src/views/shared/classwork/SubjectDetailPage.tsx
319,Shared views,Add Note,,src/views/shared/tabs/MaterialsTab.tsx; src/views/shared/tabs/StaffNotesTab.tsx
320,Shared views,Add period,,src/views/shared/GradesView.tsx
321,Shared views,Add session,,src/views/shared/classwork/SubjectDetailPage.tsx
322,Shared views,"Admins, teachers, mentors, translators, leaders",,src/views/shared/MessagesView.tsx
323,Shared views,All,,src/components/modals/CreateAnnouncementModal.tsx; src/views/admin/CurriculumDateView.tsx; src/views/admin/MentorshipFollowUpPanel.tsx; src/views/admin/users/UsersHubView.tsx; src/views/shared/AnnouncementsView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/GradesView.tsx
324,Shared views,All my sessions,,src/views/shared/StaffDashboard.tsx
325,Shared views,All posts,,src/views/shared/AnnouncementsView.tsx
326,Shared views,All school sessions · next 7 days,,src/views/shared/StaffDashboard.tsx
327,Shared views,All students,,src/views/shared/MessagesView.tsx
328,Shared views,All upcoming notices,,src/views/shared/AbsenceNoticesView.tsx
329,Shared views,Allow files/links on student Stream posts.,,src/views/shared/AnnouncementsView.tsx
330,Shared views,Alternative: clock for pending student work.,,src/views/shared/ClassworkView.tsx
331,Shared views,Alternative: edit icon for pending student work.,,src/views/shared/ClassworkView.tsx
332,Shared views,Alternative: ellipsis icon for pending student work.,,src/views/shared/ClassworkView.tsx
333,Shared views,Alternative: message icon for pending student work.,,src/views/shared/ClassworkView.tsx
334,Shared views,Alternative: soft dot for pending student work.,,src/views/shared/ClassworkView.tsx
335,Shared views,Approve,,src/views/admin/AttendanceView.tsx; src/views/shared/AnnouncementsView.tsx
336,Shared views,Approve post,,src/views/shared/AnnouncementsView.tsx
337,Shared views,Approve student posts,,src/views/shared/AnnouncementsView.tsx
338,Shared views,Ask a question or share something with your class...,,src/views/shared/AnnouncementsView.tsx
339,Shared views,Assign,,src/views/admin/MentorshipHubView.tsx; src/views/shared/TodosView.tsx
340,Shared views,Assigned homework,,src/views/shared/GradesView.tsx
341,Shared views,Assignments appear under the subject. Pick a session only when the work clearly belongs to one class meeting.,,src/views/shared/classwork/SubjectDetailPage.tsx
342,Shared views,"Assignments are attached, but this subject has not started yet.",,src/views/shared/ClassworkView.tsx; src/views/shared/classwork/helpers.ts
343,Shared views,Assignments are complete on the student and staff side.,,src/views/shared/ClassworkView.tsx; src/views/shared/classwork/helpers.ts
344,Shared views,At least one assignment still needs your attention.,,src/views/shared/ClassworkView.tsx; src/views/shared/classwork/helpers.ts
345,Shared views,Attendance communication,,src/views/shared/AbsenceNoticesView.tsx
346,Shared views,Attendance credit,,src/views/shared/classwork/SubjectDetailPage.tsx
347,Shared views,Audience messages are broadcast copies. Replies happen as direct conversations with the admin.,,src/views/shared/MessagesView.tsx
348,Shared views,Back to conversations,,src/views/shared/MessagesView.tsx
349,Shared views,Back to student work,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
350,Shared views,Category,,src/views/shared/GradesView.tsx
351,Shared views,Category color,,src/views/shared/GradesView.tsx
352,Shared views,Category name,,src/views/shared/GradesView.tsx
353,Shared views,Choose an optional session context,,src/views/shared/classwork/SubjectDetailPage.tsx
354,Shared views,Choose at least one session.,,src/views/shared/AbsenceNoticesView.tsx
355,Shared views,Choose how the academic percentage is calculated.,,src/views/shared/GradesView.tsx
356,Shared views,Choose session(s),,src/views/shared/AbsenceNoticesView.tsx
357,Shared views,Choose which emails you want to receive.,,src/views/shared/SettingsView.tsx
358,Shared views,Classwork content,,src/views/shared/ClassworkView.tsx
359,Shared views,Classwork type,,src/views/shared/ClassworkView.tsx
360,Shared views,Clear search,,src/views/shared/TodosView.tsx
361,Shared views,Close create to-do,,src/views/shared/TodosView.tsx
362,Shared views,Close grade detail,,src/views/shared/GradesView.tsx
363,Shared views,Close reading detail,,src/views/shared/ClassworkView.tsx
364,Shared views,Close stream settings,,src/views/shared/AnnouncementsView.tsx
365,Shared views,Comment,,src/views/shared/GradesView.tsx
366,Shared views,Comment only,,src/views/shared/AnnouncementsView.tsx
367,Shared views,Comments are closed for this Stream item.,,src/views/shared/AnnouncementsView.tsx
368,Shared views,Complete,,src/views/admin/KnowledgeBaseView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/GradesView.tsx; src/views/shared/classwork/helpers.ts; src/views/student/MyAttendanceBreakdownView.tsx
369,Shared views,Completed,,src/views/admin/KnowledgeBaseView.tsx; src/views/shared/TodosView.tsx; src/views/student/MyAssignmentsView.tsx
370,Shared views,Connect the school Google account used to create assignment documents in the Shared Drive.,,src/views/shared/SettingsView.tsx
371,Shared views,Connected,,src/views/shared/SettingsView.tsx
372,Shared views,Content,,src/views/shared/ClassworkView.tsx
373,Shared views,Continue Working,,src/views/shared/tabs/HomeworkTab.tsx
374,Shared views,Could not create the Google Doc.,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
375,Shared views,Could not load Google Doc details.,,src/views/shared/tabs/HomeworkTab.tsx
376,Shared views,Could not start Google Docs authorization.,,src/views/shared/SettingsView.tsx
377,Shared views,Could not submit absence notice. Please try again.,,src/views/shared/AbsenceNoticesView.tsx
378,Shared views,Could not submit the assignment.,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
379,Shared views,Could not submit the quick check.,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
380,Shared views,Could not test Google Docs setup.,,src/views/shared/SettingsView.tsx
381,Shared views,Course Enrollment,,src/views/shared/SettingsView.tsx
382,Shared views,Create,,src/views/shared/classwork/SubjectDetailPage.tsx; src/views/shared/tabs/MaterialsTab.tsx
383,Shared views,"Create a Google Doc in your own Google Drive, then paste the link here.",,src/views/shared/tabs/HomeworkTab.tsx
384,Shared views,Create school Google Doc,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx; src/views/shared/tabs/HomeworkTab.tsx
385,Shared views,Create to-do,,src/views/shared/TodosView.tsx
386,Shared views,Curriculum Plan,,src/views/shared/classwork/SubjectDetailPage.tsx
387,Shared views,Date range,,src/views/shared/classwork/SubjectDetailPage.tsx
388,Shared views,Decide what students can do in each active year group.,,src/views/shared/AnnouncementsView.tsx
389,Shared views,Dedicated OAuth,,src/views/shared/SettingsView.tsx
390,Shared views,Default is comment only until changed.,,src/views/shared/AnnouncementsView.tsx
391,Shared views,Delete,,src/components/subject/SubjectCurriculumPlan.tsx; src/views/admin/BooksView.tsx; src/views/admin/planning/PlanningCalendarGrid.tsx; src/views/shared/AnnouncementsView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/classwork/SubjectDetailPage.tsx; src/views/shared/tabs/HomeworkTab.tsx
392,Shared views,Delete assignment,,src/views/shared/tabs/HomeworkTab.tsx
393,Shared views,Delete file,,src/views/shared/tabs/MaterialsTab.tsx; src/views/shared/tabs/StaffNotesTab.tsx
394,Shared views,Delete message,,src/views/shared/MessagesView.tsx
395,Shared views,Delete note,,src/views/shared/tabs/MaterialsTab.tsx; src/views/shared/tabs/StaffNotesTab.tsx
396,Shared views,Delete post,,src/views/shared/AnnouncementsView.tsx
397,Shared views,Delete to-do,,src/views/shared/TodosView.tsx
398,Shared views,Details,,src/views/admin/AdminDashboard.tsx; src/views/shared/ClassworkView.tsx
399,Shared views,Direct Messages,,src/views/shared/SettingsView.tsx
400,Shared views,Document title,,src/views/shared/classwork/SubjectDetailPage.tsx; src/views/shared/tabs/MaterialsTab.tsx
401,Shared views,Drafts,,src/views/shared/AnnouncementsView.tsx
402,Shared views,Drive Files,,src/views/shared/tabs/StaffNotesTab.tsx
403,Shared views,Drive Materials,,src/views/shared/tabs/MaterialsTab.tsx
404,Shared views,Due,,src/components/assignments/AssignmentComposer.tsx; src/views/admin/KnowledgeBaseView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/GradesView.tsx; src/views/shared/TodosView.tsx
405,Shared views,Edit assignment,,src/views/shared/tabs/HomeworkTab.tsx
406,Shared views,Edit note,,src/views/shared/tabs/MaterialsTab.tsx; src/views/shared/tabs/StaffNotesTab.tsx
407,Shared views,Edit post,,src/views/shared/AnnouncementsView.tsx
408,Shared views,Edit subject,,src/views/admin/CurriculumOverview.tsx; src/views/shared/classwork/SubjectDetailPage.tsx
409,Shared views,Email is managed by Google and cannot be changed here.,,src/views/shared/SettingsView.tsx
410,Shared views,Email notifications,,src/views/shared/AnnouncementsView.tsx
411,Shared views,Email Notifications,,src/views/shared/SettingsView.tsx
412,Shared views,Email returned,,src/views/shared/SubmissionsView.tsx
413,Shared views,Email submitted,,src/views/shared/SubmissionsView.tsx
414,Shared views,Everyone except you,,src/views/shared/MessagesView.tsx
415,Shared views,Everything currently visible here looks settled.,,src/views/shared/classwork/SubjectDetailPage.tsx
416,Shared views,Extras,,src/views/shared/GradesView.tsx
417,Shared views,Failed to delete comment,,src/hooks/useAnnouncements.ts; src/hooks/useHomework.ts; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
418,Shared views,Failed to load absence notices.,,src/views/shared/AbsenceNoticesView.tsx
419,Shared views,Failed to post comment,,src/hooks/useHomework.ts; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
420,Shared views,Failed to save grade,,src/hooks/useHomework.ts; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
421,Shared views,File,,src/views/shared/AnnouncementsView.tsx
422,Shared views,Final feedback for this submission...,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
423,Shared views,First Name,,src/views/shared/SettingsView.tsx
424,Shared views,First Year students,,src/views/shared/MessagesView.tsx
425,Shared views,Go back,,src/views/shared/ClassDetailView.tsx
426,Shared views,Google Docs,,src/views/shared/SettingsView.tsx
427,Shared views,Google Drive folders are not set up for this session.,,src/views/shared/ClassDetailView.tsx
428,Shared views,Grade,,src/components/modals/SubmissionDetailModal.tsx; src/views/admin/AdminStudentDashboard.tsx; src/views/admin/BooksView.tsx; src/views/shared/GradesView.tsx; src/views/shared/tabs/HomeworkTab.tsx
429,Shared views,Grade categories,,src/views/shared/GradesView.tsx
430,Shared views,Grade detail,,src/views/shared/GradesView.tsx
431,Shared views,Grade feedback,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
432,Shared views,Grade settings,,src/views/shared/GradesView.tsx
433,Shared views,Grade setup,,src/views/shared/GradesView.tsx
434,Shared views,Graded homework,,src/views/shared/GradesView.tsx
435,Shared views,Graded points,,src/views/shared/GradesView.tsx
436,Shared views,Grading periods,,src/views/shared/GradesView.tsx
437,Shared views,"Group work by month, term, or school phase.",,src/views/shared/GradesView.tsx
438,Shared views,Groups,,src/views/shared/MessagesView.tsx
439,Shared views,Has any extras,,src/views/shared/ClassworkView.tsx
440,Shared views,Has homework,,src/views/shared/ClassworkView.tsx
441,Shared views,Has materials,,src/views/shared/ClassworkView.tsx
442,Shared views,Homework,,src/views/admin/AdminStudentDashboard.tsx; src/views/shared/AnnouncementsView.tsx; src/views/shared/ClassDetailView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/GradesView.tsx; src/views/shared/classwork/SubjectDetailPage.tsx; src/views/student/MyAssignmentsView.tsx; src/views/student/StudentDashboard.tsx
443,Shared views,Homework status preview,,src/views/shared/ClassworkView.tsx
444,Shared views,"Homework, reading, and materials will appear here when they match this view.",,src/views/shared/ClassworkView.tsx
445,Shared views,In progress,,src/views/shared/GradesView.tsx; src/views/shared/tabs/HomeworkTab.tsx; src/views/student/MyAssignmentsView.tsx; src/views/student/MyCourseView.tsx
446,Shared views,Instructions,,src/components/assignments/AssignmentComposer.tsx; src/views/admin/BooksView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx; src/views/shared/tabs/HomeworkTab.tsx
447,Shared views,"JPG, PNG or GIF · Max 2MB",,src/views/shared/SettingsView.tsx
448,Shared views,Last edited,,src/views/shared/tabs/HomeworkTab.tsx
449,Shared views,Last Name,,src/views/shared/SettingsView.tsx
450,Shared views,Later,,src/views/shared/TodosView.tsx
451,Shared views,Learning record,,src/views/shared/GradesView.tsx
452,Shared views,Learning work,,src/views/shared/ClassworkView.tsx
453,Shared views,"Leave empty to use the original file name. For multiple files, the file name is added after this title.",,src/views/shared/classwork/SubjectDetailPage.tsx
454,Shared views,Link,,src/views/shared/AnnouncementsView.tsx
455,Shared views,Link Document,,src/views/shared/tabs/HomeworkTab.tsx
456,Shared views,Loading absence notices...,,src/views/shared/AbsenceNoticesView.tsx
457,Shared views,Loading attendance...,,src/views/shared/classwork/SubjectDetailPage.tsx
458,Shared views,Loading classwork...,,src/views/shared/ClassworkView.tsx
459,Shared views,Loading grades...,,src/views/shared/GradesView.tsx
460,Shared views,Loading materials...,,src/views/shared/classwork/SubjectDetailPage.tsx
461,Shared views,Loading messages,,src/views/shared/MessagesView.tsx
462,Shared views,Loading messages...,,src/views/shared/MessagesView.tsx
463,Shared views,Loading preview...,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
464,Shared views,Loading stream,,src/views/shared/AnnouncementsView.tsx
465,Shared views,Loading submissions...,,src/views/shared/SubmissionsView.tsx
466,Shared views,Loading to-dos...,,src/views/admin/AdminDashboard.tsx; src/views/shared/TodosView.tsx; src/views/student/StudentDashboard.tsx
467,Shared views,Manage your profile and notification preferences,,src/views/shared/SettingsView.tsx
468,Shared views,Material,,src/views/admin/KnowledgeBaseView.tsx; src/views/shared/AnnouncementsView.tsx
469,Shared views,Material document,,src/views/shared/tabs/MaterialsTab.tsx
470,Shared views,Materials,,src/views/admin/KnowledgeBaseView.tsx; src/views/shared/AnnouncementsView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/classwork/SubjectDetailPage.tsx
471,Shared views,Materials & Notes,,src/views/shared/ClassDetailView.tsx
472,Shared views,My Grades,,src/views/shared/GradesView.tsx
473,Shared views,My subjects,,src/views/shared/ClassworkView.tsx
474,Shared views,Name can only be changed by an administrator.,,src/hooks/useSettings.ts; src/views/shared/SettingsView.tsx
475,Shared views,New Announcements,,src/views/shared/SettingsView.tsx
476,Shared views,New Google Doc,,src/views/shared/classwork/SubjectDetailPage.tsx; src/views/shared/tabs/MaterialsTab.tsx
477,Shared views,New Message,,src/views/shared/MessagesView.tsx
478,Shared views,New message,,src/views/shared/MessagesView.tsx
479,Shared views,New to-do,,src/views/shared/TodosView.tsx
480,Shared views,Next session weeks,,src/views/admin/AdminStudentDashboard.tsx; src/views/shared/classwork/SubjectDetailPage.tsx
481,Shared views,No absence notices found.,,src/views/shared/AbsenceNoticesView.tsx
482,Shared views,No academic work has been assigned yet.,,src/views/shared/GradesView.tsx
483,Shared views,No assignments,,src/views/shared/ClassworkView.tsx; src/views/shared/classwork/helpers.ts
484,Shared views,No assignments match these filters.,,src/views/shared/GradesView.tsx
485,Shared views,No assignments posted yet.,,src/views/shared/tabs/HomeworkTab.tsx
486,Shared views,No categories yet.,,src/views/shared/GradesView.tsx
487,Shared views,No classwork found.,,src/views/shared/ClassworkView.tsx
488,Shared views,No comments yet.,,src/components/modals/SubmissionDetailModal.tsx; src/views/shared/AnnouncementsView.tsx; src/views/shared/tabs/HomeworkTab.tsx
489,Shared views,No enrolled students.,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx; src/views/shared/tabs/HomeworkTab.tsx
490,Shared views,No extras,,src/views/shared/ClassworkView.tsx
491,Shared views,No extras attached,,src/views/shared/classwork/SubjectDetailPage.tsx
492,Shared views,No file or link is attached.,,src/views/shared/GradesView.tsx
493,Shared views,No grades are available yet.,,src/views/shared/GradesView.tsx
494,Shared views,No grading periods yet.,,src/views/shared/GradesView.tsx
495,Shared views,No homework assignments yet.,,src/views/shared/tabs/HomeworkTab.tsx
496,Shared views,No homework is attached to this subject yet.,,src/views/shared/classwork/SubjectDetailPage.tsx
497,Shared views,No materials uploaded yet.,,src/views/shared/tabs/MaterialsTab.tsx
498,Shared views,No messages yet. Say hello!,,src/views/shared/MessagesView.tsx
499,Shared views,No notes yet.,,src/views/shared/tabs/MaterialsTab.tsx
500,Shared views,No overall grade,,src/views/shared/GradesView.tsx
501,Shared views,No people found,,src/views/shared/TodosView.tsx
502,Shared views,No private comments yet.,,src/views/shared/ClassworkView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
503,Shared views,No school sessions scheduled in the next 7 days.,,src/views/shared/StaffDashboard.tsx
504,Shared views,No staff notes yet.,,src/views/shared/classwork/SubjectDetailPage.tsx
505,Shared views,No student materials yet.,,src/views/shared/classwork/SubjectDetailPage.tsx
506,Shared views,No submissions need review.,,src/views/shared/SubmissionsView.tsx
507,Shared views,No teacher assigned yet.,,src/views/shared/classwork/SubjectDetailPage.tsx
508,Shared views,No teacher comment yet.,,src/views/shared/GradesView.tsx
509,Shared views,No to-dos here,,src/views/shared/TodosView.tsx
510,Shared views,No upcoming sessions were found for your year group.,,src/views/shared/AbsenceNoticesView.tsx
511,Shared views,No users found.,,src/views/shared/MessagesView.tsx
512,Shared views,Not graded,,src/views/shared/GradesView.tsx
513,Shared views,Not started,,src/views/shared/GradesView.tsx; src/views/shared/tabs/HomeworkTab.tsx; src/views/student/MyAssignmentsView.tsx; src/views/student/MyCourseView.tsx
514,Shared views,Note content...,,src/views/shared/tabs/MaterialsTab.tsx; src/views/shared/tabs/StaffNotesTab.tsx
515,Shared views,Only today and future sessions are available.,,src/views/shared/AbsenceNoticesView.tsx
516,Shared views,Open,,src/views/shared/TodosView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx; src/views/shared/tabs/HomeworkTab.tsx; src/views/shared/tabs/MaterialsTab.tsx; src/views/shared/tabs/StaffNotesTab.tsx; src/views/student/StudentDashboard.tsx
517,Shared views,Open assignment to review this work,,src/views/shared/SubmissionsView.tsx
518,Shared views,Open grades,,src/views/shared/classwork/SubjectDetailPage.tsx
519,Shared views,Open in new tab,,src/components/subject/SubjectCurriculumPlan.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx; src/views/shared/classwork/SubjectDetailPage.tsx
520,Shared views,Open materials,,src/views/shared/ClassworkView.tsx
521,Shared views,Open planning,,src/views/admin/AdminStudentDashboard.tsx; src/views/shared/classwork/SubjectDetailPage.tsx
522,Shared views,Open work,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
523,Shared views,Optional link title,,src/views/shared/AnnouncementsView.tsx
524,Shared views,Optional. Keep it short if no detail is needed.,,src/views/shared/AbsenceNoticesView.tsx
525,Shared views,Or search for one person...,,src/views/shared/MessagesView.tsx
526,Shared views,Overall grade,,src/views/shared/GradesView.tsx
527,Shared views,Owner,,src/views/shared/tabs/HomeworkTab.tsx
528,Shared views,Past,,src/views/admin/CurriculumDateView.tsx; src/views/shared/ClassDetailView.tsx; src/views/teacher/MyClassesView.tsx
529,Shared views,Past subjects are compact by default.,,src/views/shared/ClassworkView.tsx
530,Shared views,Pending clock,,src/views/shared/ClassworkView.tsx
531,Shared views,Pending dot,,src/views/shared/ClassworkView.tsx
532,Shared views,Pending edit,,src/views/shared/ClassworkView.tsx
533,Shared views,Pending ellipsis,,src/views/shared/ClassworkView.tsx
534,Shared views,Pending message,,src/views/shared/ClassworkView.tsx
535,Shared views,Pending review,,src/views/shared/AnnouncementsView.tsx
536,Shared views,Period name,,src/views/shared/GradesView.tsx
537,Shared views,Permanently delete post,,src/views/shared/AnnouncementsView.tsx
538,Shared views,Pinned only,,src/views/shared/AnnouncementsView.tsx
539,Shared views,Pinned post limit,,src/views/shared/AnnouncementsView.tsx
540,Shared views,Post,,src/components/modals/SubmissionDetailModal.tsx; src/views/shared/AnnouncementsView.tsx; src/views/shared/tabs/HomeworkTab.tsx
541,Shared views,Post & comment,,src/views/shared/AnnouncementsView.tsx
542,Shared views,Post Assignment,,src/views/shared/tabs/HomeworkTab.tsx
543,Shared views,Posts,,src/views/shared/AnnouncementsView.tsx
544,Shared views,Preview,,src/views/shared/tabs/MaterialsTab.tsx
545,Shared views,Preview is not available.,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
546,Shared views,Previous session weeks,,src/views/admin/AdminStudentDashboard.tsx; src/views/shared/classwork/SubjectDetailPage.tsx
547,Shared views,Priority,,src/views/admin/KnowledgeBaseView.tsx; src/views/shared/TodosView.tsx
548,Shared views,Private comments,,src/views/shared/ClassworkView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
549,Shared views,Private to staff working with this subject.,,src/views/shared/classwork/SubjectDetailPage.tsx
550,Shared views,Profile,,src/views/shared/SettingsView.tsx
551,Shared views,Profile photo,,src/views/shared/SettingsView.tsx
552,Shared views,Promise,,src/AuthenticatedApp.tsx; src/components/assignments/AssignmentComposer.tsx; src/components/modals/CreateAnnouncementModal.tsx; src/components/modals/CreateAssignmentModal.tsx; src/components/modals/EditModal/EditModal.tsx; src/components/modals/GradeModal.tsx; src/components/modals/SubmissionDetailModal.tsx; src/views/AppRouter.tsx; src/views/admin/AttendanceView.tsx; src/views/admin/BooksView.tsx; src/views/admin/CurriculumPlanningView.tsx; src/views/admin/CurriculumView.tsx; src/views/admin/MentorshipAssignmentsPanel.tsx; src/views/admin/MentorshipHubView.tsx; src/views/admin/TuitionView.tsx; src/views/admin/planning/SchoolYearSelector.tsx; src/views/shared/AnnouncementsView.tsx; src/views/shared/ClassDetailView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/MessagesView.tsx; src/views/shared/TodosView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx; src/views/shared/classwork/SubjectDetailPage.tsx; src/views/shared/tabs/HomeworkTab.tsx; src/views/shared/tabs/MaterialsTab.tsx; src/views/shared/tabs/StaffNotesTab.tsx; src/views/student/DutyMarkingView.tsx; src/views/student/MyAttendanceBreakdownView.tsx; src/views/student/MyBooksView.tsx; src/views/teamLeader/MinistryReportView.tsx
553,Shared views,Quick check answer,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
554,Shared views,Quick check response,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
555,Shared views,Quick grade,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
556,Shared views,Quick links,,src/views/shared/classwork/SubjectDetailPage.tsx; src/views/student/StudentDashboard.tsx
557,Shared views,Reading,,src/hooks/useUniversalSearchIndex.tsx; src/views/admin/AdminStudentDashboard.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/GradesView.tsx; src/views/student/MyAssignmentsView.tsx
558,Shared views,Ready on graduation gates,,src/views/shared/GradesView.tsx
559,Shared views,Reason for absence...,,src/views/shared/AbsenceNoticesView.tsx
560,Shared views,Refresh,,src/views/admin/InboxView.tsx; src/views/shared/tabs/HomeworkTab.tsx
561,Shared views,Related session (optional),,src/views/shared/classwork/SubjectDetailPage.tsx
562,Shared views,Remind missing,,src/views/shared/SubmissionsView.tsx
563,Shared views,Remove Photo,,src/views/shared/SettingsView.tsx
564,Shared views,Remove your profile photo?,,src/views/shared/SettingsView.tsx
565,Shared views,Resources,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
566,Shared views,Restore post,,src/views/shared/AnnouncementsView.tsx
567,Shared views,Return for revision,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
568,Shared views,Returned,,src/views/admin/AdminDashboard.tsx; src/views/shared/GradesView.tsx; src/views/shared/tabs/HomeworkTab.tsx; src/views/student/MyAssignmentsView.tsx
569,Shared views,Review pending,,src/views/shared/ClassworkView.tsx; src/views/shared/classwork/helpers.ts
570,Shared views,"Review upcoming sessions, reading, homework, and materials.",,src/views/shared/ClassworkView.tsx
571,Shared views,Role Changes,,src/views/shared/SettingsView.tsx
572,Shared views,Save,,src/components/subject/SubjectCurriculumPlan.tsx; src/views/shared/tabs/MaterialsTab.tsx; src/views/shared/tabs/StaffNotesTab.tsx
573,Shared views,Save method,,src/views/shared/GradesView.tsx
574,Shared views,Scheduled,,src/views/admin/KnowledgeBaseView.tsx; src/views/shared/AnnouncementsView.tsx; src/views/shared/TodosView.tsx
575,Shared views,Scheduled assignment,,src/views/shared/TodosView.tsx
576,Shared views,Search,,src/views/admin/AdminDashboard.tsx; src/views/admin/AttendanceView.tsx; src/views/shared/StaffDashboard.tsx; src/views/shared/TodosView.tsx; src/views/student/StudentDashboard.tsx
577,Shared views,Search assignments,,src/views/shared/GradesView.tsx; src/views/student/MyAssignmentsView.tsx
578,Shared views,"Search by title, details, or assignee",,src/views/shared/TodosView.tsx
579,Shared views,Search classwork,,src/views/shared/ClassworkView.tsx
580,Shared views,Search conversations...,,src/views/shared/MessagesView.tsx
581,Shared views,Search people,,src/views/shared/GradesView.tsx; src/views/shared/TodosView.tsx
582,Shared views,Search student or assignment,,src/views/shared/SubmissionsView.tsx
583,Shared views,"Search student, reason, or session",,src/views/shared/AbsenceNoticesView.tsx
584,Shared views,Second Year students,,src/views/shared/MessagesView.tsx
585,Shared views,Select Drive Files,,src/views/shared/tabs/MaterialsTab.tsx
586,Shared views,Select files,,src/views/shared/classwork/SubjectDetailPage.tsx
587,Shared views,Send,,src/views/admin/TuitionView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
588,Shared views,Send message,,src/views/shared/MessagesView.tsx
589,Shared views,Session materials and staff notes are saved in Google Drive folders.,,src/views/shared/ClassDetailView.tsx
590,Shared views,Session weeks,,src/views/shared/classwork/SubjectDetailPage.tsx
591,Shared views,Share with your year group,,src/views/shared/AnnouncementsView.tsx
592,Shared views,Shown with the returned grade.,,src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
593,Shared views,Staff and pinned,,src/views/shared/AnnouncementsView.tsx
594,Shared views,Staff Notes,,src/views/shared/ClassDetailView.tsx; src/views/shared/classwork/SubjectDetailPage.tsx
595,Shared views,Staff only,,src/views/shared/AnnouncementsView.tsx
596,Shared views,Status,,src/components/modals/EditModal/EditCourseForm.tsx; src/views/admin/AdminStudentDashboard.tsx; src/views/admin/BooksView.tsx; src/views/admin/TuitionView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/GradesView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
